AdvisoryID,Version,Severity,Description,Link,ReleaseDate
NCSC-2026-0282,[1.00],[M/H],Kwetsbaarheden verholpen in Siemens producten,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0282,2026-08-11
NCSC-2026-0283,[1.00],[M/H],Kwetsbaarheden in Veeam ONE,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0283,2026-08-11
NCSC-2026-0281,[1.00],[M/H],Kwetsbaarheden verholpen in Arista VeloCloud Orchestrator On-Prem,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0281,2026-08-11
